	yearweek	ACCI	AUTR	INCN	INCU	SUAP	ope_total	inc_grippe	inc_diarrhee	inc_varicelle	has_vacation	temperature_max	temperature_min	temperature_average	total_snow_cm	precipitation_mm
142	201051	67.0	185.0	0.0	117.0	1489.0	1858.0	40307	15724	1418	1.0	2.0	-7.0	-1.14	2.4	8.3
143	201051	67.0	185.0	0.0	117.0	1489.0	1858.0	40307	15724	1418	1.0	2.0	-7.0	-1.14	2.4	8.3
144	201051	67.0	185.0	0.0	117.0	1489.0	1858.0	40307	15724	1418	1.0	2.0	-7.0	-1.14	2.4	8.3
145	201052	46.0	94.0	0.0	111.0	909.0	1160.0	54359	32299	2423	1.0	3.0	-5.0	-0.43	0.0	0.7
146	201052	46.0	94.0	0.0	111.0	909.0	1160.0	54359	32299	2423	1.0	3.0	-5.0	-0.43	0.0	0.7
147	201052	46.0	94.0	0.0	111.0	909.0	1160.0	54359	32299	2423	1.0	3.0	-5.0	-0.43	0.0	0.7
148	201052	46.0	94.0	0.0	111.0	909.0	1160.0	54359	32299	2423	1.0	3.0	-5.0	-0.43	0.0	0.7
149	201052	46.0	94.0	0.0	111.0	909.0	1160.0	54359	32299	2423	1.0	3.0	-5.0	-0.43	0.0	0.7
150	201101	95.0	106.0	0.0	109.0	1357.0	1667.0	58258	44600	631	0.0	12.0	-3.0	4.0	0.0	10.0
151	201102	97.0	96.0	0.0	121.0	1396.0	1710.0	36451	27909	358	0.0	13.0	-0.0	6.71	0.0	0.5
152	201103	85.0	114.0	0.0	151.0	1238.0	1588.0	27224	22794	452	0.0	9.0	-2.0	3.0	0.0	1.3
153	201104	73.0	95.0	0.0	132.0	1305.0	1605.0	26865	23309	3281	0.0	6.0	-5.0	0.86	0.1	4.1
154	201105	120.0	106.0	1.0	130.0	1517.0	1874.0	22763	19547	3806	0.0	10.0	-8.0	2.43	0.0	0.7
155	201106	64.0	93.0	0.0	132.0	1274.0	1563.0	19211	15581	270	1.0	14.0	2.0	6.43	0.0	3.1
156	201106	64.0	93.0	0.0	132.0	1274.0	1563.0	19211	15581	270	1.0	14.0	2.0	6.43	0.0	3.1
157	201107	65.0	89.0	1.0	125.0	1083.0	1363.0	9137	20701	510	1.0	9.0	-1.0	4.29	0.0	1.1
158	201107	65.0	89.0	1.0	125.0	1083.0	1363.0	9137	20701	510	1.0	9.0	-1.0	4.29	0.0	1.1
159	201107	65.0	89.0	1.0	125.0	1083.0	1363.0	9137	20701	510	1.0	9.0	-1.0	4.29	0.0	1.1
160	201107	65.0	89.0	1.0	125.0	1083.0	1363.0	9137	20701	510	1.0	9.0	-1.0	4.29	0.0	1.1
161	201107	65.0	89.0	1.0	125.0	1083.0	1363.0	9137	20701	510	1.0	9.0	-1.0	4.29	0.0	1.1
162	201107	65.0	89.0	1.0	125.0	1083.0	1363.0	9137	20701	510	1.0	9.0	-1.0	4.29	0.0	1.1
163	201107	65.0	89.0	1.0	125.0	1083.0	1363.0	9137	20701	510	1.0	9.0	-1.0	4.29	0.0	1.1
164	201108	61.0	100.0	0.0	126.0	1203.0	1490.0	3620	13842	3046	1.0	12.0	-1.0	5.43	0.0	1.9
165	201108	61.0	100.0	0.0	126.0	1203.0	1490.0	3620	13842	3046	1.0	12.0	-1.0	5.43	0.0	1.9
166	201108	61.0	100.0	0.0	126.0	1203.0	1490.0	3620	13842	3046	1.0	12.0	-1.0	5.43	0.0	1.9
167	201108	61.0	100.0	0.0	126.0	1203.0	1490.0	3620	13842	3046	1.0	12.0	-1.0	5.43	0.0	1.9
168	201108	61.0	100.0	0.0	126.0	1203.0	1490.0	3620	13842	3046	1.0	12.0	-1.0	5.43	0.0	1.9
169	201108	61.0	100.0	0.0	126.0	1203.0	1490.0	3620	13842	3046	1.0	12.0	-1.0	5.43	0.0	1.9
170	201108	61.0	100.0	0.0	126.0	1203.0	1490.0	3620	13842	3046	1.0	12.0	-1.0	5.43	0.0	1.9
171	201109	80.0	104.0	2.0	133.0	1232.0	1551.0	3939	19351	1152	0.0	10.0	0.0	4.43	0.0	2.8
172	201110	82.0	91.0	4.0	166.0	1291.0	1634.0	3411	13822	1536	0.0	14.0	-2.0	6.71	0.0	0.9
173	201111	67.0	117.0	5.0	128.0	1275.0	1592.0	1537	13998	2265	0.0	19.0	0.0	8.43	0.0	3.5
174	201112	88.0	155.0	13.0	144.0	1311.0	1711.0	1358	13828	1807	0.0	19.0	0.0	9.86	0.0	5.8
175	201113	83.0	122.0	2.0	148.0	1402.0	1757.0	1934	11051	3092	0.0	23.0	6.0	11.57	0.0	6.7
176	201114	108.0	177.0	8.0	159.0	1367.0	1819.0	479	10813	3011	1.0	24.0	4.0	13.0	0.0	0.0
177	201114	108.0	177.0	8.0	159.0	1367.0	1819.0	479	10813	3011	1.0	24.0	4.0	13.0	0.0	0.0
178	201115	81.0	135.0	11.0	151.0	1179.0	1557.0	674	5188	4788	1.0	21.0	1.0	10.29	0.0	0.0
179	201115	81.0	135.0	11.0	151.0	1179.0	1557.0	674	5188	4788	1.0	21.0	1.0	10.29	0.0	0.0
180	201115	81.0	135.0	11.0	151.0	1179.0	1557.0	674	5188	4788	1.0	21.0	1.0	10.29	0.0	0.0
181	201115	81.0	135.0	11.0	151.0	1179.0	1557.0	674	5188	4788	1.0	21.0	1.0	10.29	0.0	0.0
182	201115	81.0	135.0	11.0	151.0	1179.0	1557.0	674	5188	4788	1.0	21.0	1.0	10.29	0.0	0.0
183	201115	81.0	135.0	11.0	151.0	1179.0	1557.0	674	5188	4788	1.0	21.0	1.0	10.29	0.0	0.0
184	201115	81.0	135.0	11.0	151.0	1179.0	1557.0	674	5188	4788	1.0	21.0	1.0	10.29	0.0	0.0
185	201116	106.0	197.0	11.0	157.0	1202.0	1673.0	861	10722	1931	1.0	25.0	6.0	15.71	0.0	1.7
186	201116	106.0	197.0	11.0	157.0	1202.0	1673.0	861	10722	1931	1.0	25.0	6.0	15.71	0.0	1.7
187	201116	106.0	197.0	11.0	157.0	1202.0	1673.0	861	10722	1931	1.0	25.0	6.0	15.71	0.0	1.7
188	201116	106.0	197.0	11.0	157.0	1202.0	1673.0	861	10722	1931	1.0	25.0	6.0	15.71	0.0	1.7
189	201116	106.0	197.0	11.0	157.0	1202.0	1673.0	861	10722	1931	1.0	25.0	6.0	15.71	0.0	1.7
190	201116	106.0	197.0	11.0	157.0	1202.0	1673.0	861	10722	1931	1.0	25.0	6.0	15.71	0.0	1.7
191	201116	106.0	197.0	11.0	157.0	1202.0	1673.0	861	10722	1931	1.0	25.0	6.0	15.71	0.0	1.7
192	201117	90.0	181.0	9.0	126.0	1298.0	1704.0	407	11673	2163	1.0	24.0	5.0	13.29	0.0	3.1
193	201118	93.0	191.0	14.0	148.0	1393.0	1839.0	355	13300	2026	0.0	24.0	3.0	14.43	0.0	1.2
194	201119	94.0	216.0	18.0	158.0	1436.0	1922.0	416	11505	2582	0.0	23.0	4.0	13.71	0.0	2.4
195	201120	83.0	214.0	22.0	145.0	1407.0	1871.0	133	12240	4440	0.0	23.0	5.0	14.71	0.0	12.8
196	201121	104.0	236.0	16.0	177.0	1453.0	1986.0	620	10067	5386	0.0	22.0	4.0	13.57	0.0	3.6
197	201122	101.0	460.0	19.0	163.0	1390.0	2133.0	341	10520	5635	0.0	27.0	5.0	15.86	0.0	17.7
198	201123	88.0	542.0	6.0	113.0	1325.0	2074.0	316	15796	3998	0.0	18.0	5.0	13.29	0.0	10.9
199	201124	101.0	428.0	1.0	127.0	1292.0	1949.0	708	10648	3318	0.0	21.0	8.0	15.43	0.0	10.6
200	201125	102.0	404.0	1.0	137.0	1455.0	2099.0	262	9202	2227	0.0	27.0	8.0	16.29	0.0	6.3
201	201126	100.0	571.0	13.0	139.0	1458.0	2281.0	463	8590	1851	1.0	32.0	8.0	16.86	0.0	11.1
202	201126	100.0	571.0	13.0	139.0	1458.0	2281.0	463	8590	1851	1.0	32.0	8.0	16.86	0.0	11.1
203	201127	89.0	385.0	23.0	137.0	1243.0	1877.0	878	6731	3921	1.0	27.0	10.0	17.29	0.0	2.2
204	201127	89.0	385.0	23.0	137.0	1243.0	1877.0	878	6731	3921	1.0	27.0	10.0	17.29	0.0	2.2
205	201127	89.0	385.0	23.0	137.0	1243.0	1877.0	878	6731	3921	1.0	27.0	10.0	17.29	0.0	2.2
206	201127	89.0	385.0	23.0	137.0	1243.0	1877.0	878	6731	3921	1.0	27.0	10.0	17.29	0.0	2.2
207	201127	89.0	385.0	23.0	137.0	1243.0	1877.0	878	6731	3921	1.0	27.0	10.0	17.29	0.0	2.2
208	201127	89.0	385.0	23.0	137.0	1243.0	1877.0	878	6731	3921	1.0	27.0	10.0	17.29	0.0	2.2
209	201127	89.0	385.0	23.0	137.0	1243.0	1877.0	878	6731	3921	1.0	27.0	10.0	17.29	0.0	2.2
210	201128	83.0	284.0	12.0	198.0	1093.0	1670.0	0	1721	0	1.0	24.0	8.0	16.29	0.0	9.4
211	201128	83.0	284.0	12.0	198.0	1093.0	1670.0	0	1721	0	1.0	24.0	8.0	16.29	0.0	9.4
212	201128	83.0	284.0	12.0	198.0	1093.0	1670.0	0	1721	0	1.0	24.0	8.0	16.29	0.0	9.4
213	201128	83.0	284.0	12.0	198.0	1093.0	1670.0	0	1721	0	1.0	24.0	8.0	16.29	0.0	9.4
